time;delayMs;Util;dropProb;Dq;reward
103.58;46.130279541015625;0.9833880066871643;0.10999999940395355;1273730000.0;1.0
103.6;47.06147766113281;0.9833906292915344;0.11999999731779099;1273980000.0;1.0
103.62;47.09587860107422;0.9833933115005493;0.019999997690320015;1274230000.0;1.0
103.64;47.08308029174805;0.9833955764770508;0.029999997466802597;1274480000.0;1.0
103.66;47.15996170043945;0.9833981990814209;0.019999997690320015;1274730000.0;1.0
103.68;47.09996032714844;0.9834008812904358;0.019999997690320015;1274980000.0;1.0
103.7;45.015079498291016;0.9834035634994507;0.029999997466802597;1275230000.0;1.0
103.72;43.72787857055664;0.9834057688713074;0.029999997466802597;1275480000.0;1.0
103.74;40.31195831298828;0.9834084510803223;0.12999999523162842;1275730000.0;1.0
103.76;36.52717590332031;0.9834111332893372;0.22999998927116394;1275980000.0;1.0
103.78;35.57107925415039;0.9834133386611938;0.32999998331069946;1276220000.0;1.0
103.8;35.27035903930664;0.983415961265564;0.429999977350235;1276470000.0;1.0
103.82;34.790279388427734;0.9834186434745789;0.5299999713897705;1276720000.0;1.0
103.84;34.77275848388672;0.9834213256835938;0.6299999952316284;1276970000.0;1.0
103.86;34.8543586730957;0.9834235310554504;0.5299999713897705;1277220000.0;1.0
103.88;36.02627944946289;0.9834261536598206;0.429999977350235;1277470000.0;1.0
103.9;36.759239196777344;0.9834288358688354;0.32999998331069946;1277720000.0;1.0
103.92;37.133480072021484;0.9834315180778503;0.32999998331069946;1277970000.0;1.0
103.94;37.451080322265625;0.983433723449707;0.3399999737739563;1278220000.0;1.0
103.96;38.188758850097656;0.9834363460540771;0.4399999678134918;1278470000.0;1.0
103.98;38.553558349609375;0.983439028263092;0.44999995827674866;1278720000.0;1.0
